,customer_id,gender,DateOfBirth,State,Contact,Segment,claim_id,incident_cause,claim_date,claim_area,police_report,claim_type,claim_amount,total_policy_claims,fraudulent,flag
57,42333031,Female,1970-10-25,WV,972-361-7416,Platinum,42420540,Other causes,2018-02-22,Auto,Yes,Material and injury,40820.0,3,No,1
58,91786228,Female,1963-12-26,TN,826-243-9763,Gold,25108581,Other driver error,2018-06-23,Auto,No,Material only,1150.0,1,Yes,1
59,61051505,Male,1968-02-05,OH,649-461-2967,Platinum,54192772,Other driver error,2017-07-01,Auto,Unknown,Material and injury,35765.0,1,Yes,0
60,8132649,Male,1975-09-23,SD,436-953-6352,Platinum,47783756,Other driver error,2017-11-20,Auto,No,Material only,2470.0,1,No,1
61,49428676,Female,1977-09-27,TX,587-946-2153,Silver,14730852,Other causes,2018-06-17,Auto,No,Material and injury,20999.0,1,Yes,1
62,77436411,Female,1964-05-06,TN,679-324-1357,Platinum,37727681,Other driver error,2018-02-02,Auto,Unknown,Material only,3358.0,4,Yes,0
63,44319192,Male,1968-11-07,NC,432-234-3617,Platinum,87229793,Other causes,2018-04-10,Auto,Yes,Material and injury,41430.0,1,No,1
64,57510487,Male,1984-01-24,UT,512-657-2135,Gold,73138939,Driver error,2017-12-10,Auto,No,Material only,1730.0,1,No,1
65,62797342,Male,1989-05-01,MA,348-186-6349,Gold,23504103,Other driver error,2018-02-09,Auto,Unknown,Material and injury,20360.0,1,No,0
66,56923917,Female,1971-08-10,IL,451-134-7825,Silver,29613369,Other driver error,2018-05-21,Auto,No,Material only,2870.0,4,No,1
67,83088652,Male,1998-10-05,MD,968-236-9367,Platinum,21972507,Driver error,2017-01-14,Auto,Unknown,Material only,2910.0,1,No,0
68,53087364,Female,1990-07-30,AK,462-412-7423,Platinum,42737631,Other causes,2017-07-22,Home,No,Material and injury,33550.0,1,No,1
69,9089663,Male,1960-09-09,MT,763-973-2741,Silver,95352573,Other driver error,2017-11-20,Auto,No,Material and injury,33190.0,1,No,1
70,83290720,Male,1966-12-06,VA,185-825-6547,Gold,43973221,Driver error,2018-09-26,Auto,Yes,Material and injury,12467.68,1,No,1
71,78364565,Female,1961-08-07,NM,862-483-5218,Silver,79089153,Other causes,2017-02-10,Auto,Yes,Injury only,25830.0,3,No,1
72,99761663,Female,1963-11-18,NC,643-246-4718,Silver,37305754,Natural causes,2018-04-04,Auto,No,Material only,1242.0,1,Yes,1
73,6298259,Female,1969-05-30,AZ,712-891-4759,Silver,55252454,Natural causes,2017-05-29,Auto,Unknown,Material and injury,20080.0,2,No,0
74,51936868,Male,1988-05-29,OR,538-723-7261,Gold,20332975,Natural causes,2018-08-16,Auto,No,Material only,2120.0,1,No,1
75,35907845,Male,1972-06-22,IA,384-637-2368,Platinum,69101899,Crime,2018-05-14,Auto,Unknown,Material and injury,19520.0,1,No,0
76,17390816,Female,1987-09-03,UT,269-384-1923,Gold,49234022,Natural causes,2017-03-29,Auto,No,Material only,2090.0,1,No,1
77,9908654,Male,1964-02-18,AL,179-894-5412,Platinum,85585944,Other driver error,2018-06-23,Auto,No,Material only,1989.5,1,Yes,1
78,47228798,Male,1974-05-18,HI,364-634-3715,Platinum,35407789,Crime,2017-01-21,Auto,Unknown,Material only,12467.68,1,Yes,0
79,11593991,Female,1965-12-22,RI,642-812-6451,Silver,26332402,Other causes,2018-03-01,Auto,No,Material only,2060.0,1,No,1
80,15036122,Male,1988-03-30,IA,893-237-4791,Silver,50337100,Other driver error,2018-07-20,Auto,Unknown,Injury only,30080.0,1,No,0
81,59046302,Male,1994-01-15,NY,854-356-9378,Silver,1886311,Driver error,2018-04-04,Auto,No,Material only,1680.0,6,No,1
82,74058124,Male,1990-11-12,WV,172-685-2746,Silver,84635473,Driver error,2018-01-13,Auto,Unknown,Injury only,21505.0,1,Yes,0
83,95221640,Male,1967-07-13,MD,712-754-5719,Silver,99210077,Crime,2018-05-21,Auto,No,Material only,2040.0,1,No,1
84,5956033,Female,1993-07-07,WY,984-397-3427,Silver,57876931,Other driver error,2018-02-09,Auto,No,Material and injury,12467.68,1,Yes,1
85,91462331,Male,1986-05-02,SD,163-429-1675,Platinum,11951632,Driver error,2018-02-15,Auto,Unknown,Material and injury,42722.5,1,Yes,0
86,7946799,Female,1976-03-10,MT,645-968-6519,Gold,61170397,Other causes,2018-07-27,Auto,Unknown,Material and injury,34971.5,5,Yes,0
87,83884401,Male,1992-03-13,ND,947-962-9473,Gold,66546485,Driver error,2017-05-22,Auto,No,Material only,1288.0,1,Yes,1
88,36498462,Female,1987-09-10,WV,635-136-5671,Silver,62769771,Driver error,2017-06-11,Auto,Yes,Injury only,37800.0,1,No,1
89,88191021,Male,1986-07-11,HI,915-523-3148,Platinum,87452238,Driver error,2017-10-04,Auto,Yes,Material only,12467.68,1,No,1
90,88567908,Female,1971-09-26,MN,817-685-2347,Gold,99573716,Driver error,2017-01-27,Auto,No,Material only,1180.0,1,No,1
91,72896975,Male,1970-02-26,AL,813-784-4983,Gold,39128289,Other driver error,2017-07-08,Auto,Unknown,Material and injury,32480.0,1,No,0
92,85650096,Male,1967-01-29,MO,954-368-9137,Gold,64573390,Crime,2018-08-03,Auto,No,Material only,2710.0,1,No,1
93,51349085,Male,1997-06-06,RI,258-762-9482,Silver,2181243,Crime,2017-10-17,Auto,No,Material only,2620.0,2,No,1
94,90202451,Male,1989-07-04,KY,413-642-7842,Platinum,51685791,Other driver error,2017-11-20,Auto,No,Material only,1943.5,1,Yes,1
95,55180831,Male,1962-02-21,MT,482-319-5783,Gold,1633198,Other driver error,2017-09-07,Auto,No,Material and injury,12467.68,1,No,1
96,14433043,Female,1971-06-13,UT,314-341-6783,Gold,15165423,Driver error,2018-06-30,Auto,Yes,Material only,2170.0,5,No,1
97,56590042,Male,1967-01-12,AL,254-651-9452,Silver,76552623,Other causes,2017-11-06,Auto,No,Injury only,31498.5,4,Yes,1
98,43870673,Male,1985-06-21,KS,428-238-4918,Gold,64731876,Other causes,2017-05-22,Auto,Unknown,Material only,1700.0,1,No,0
99,84734050,Male,1960-04-21,VA,974-457-9312,Silver,95376481,Crime,2018-05-28,Auto,Unknown,Material only,2220.0,1,No,0
100,73246256,Female,1984-10-18,IN,146-597-5429,Platinum,21229844,Crime,2017-11-13,Auto,No,Material only,1020.0,1,No,1
101,2632562,Female,1985-12-14,AK,498-597-9658,Platinum,4506676,Other driver error,2018-05-14,Home,Unknown,Material only,1400.0,1,No,0
102,74125758,Male,1961-01-04,LA,876-786-8624,Gold,712628,Other causes,2017-11-27,Auto,Unknown,Injury only,22960.0,1,No,0
103,92752865,Male,1986-01-30,AK,143-219-5498,Silver,82144259,Driver error,2017-04-25,Auto,No,Injury only,12467.68,1,No,1
104,47086007,Female,1997-12-10,NC,347-618-5821,Gold,93009471,Other causes,2017-03-09,Auto,Yes,Injury only,18400.0,1,No,1
105,33987747,Male,1973-05-23,MO,719-927-1936,Platinum,23721504,Driver error,2017-01-14,Auto,No,Material and injury,37524.5,1,Yes,1
106,37312925,Male,1963-01-12,KS,274-346-6391,Gold,43899763,Driver error,2017-10-31,Auto,Yes,Injury only,16070.0,1,No,1
107,13233814,Female,1962-06-01,AR,583-753-8415,Platinum,4821698,Other causes,2017-07-08,Auto,Unknown,Material and injury,17230.0,1,No,0
108,32561536,Male,1982-09-18,MI,718-215-2831,Platinum,34488157,Natural causes,2017-11-06,Auto,No,Material and injury,24564.0,1,Yes,1
109,73456835,Female,1978-12-31,CO,376-294-4612,Silver,79953107,Other driver error,2018-10-16,Auto,No,Material only,2599.0,1,Yes,1
110,84767457,Female,1996-11-14,AZ,964-984-9257,Platinum,77727200,Driver error,2017-12-03,Auto,Unknown,Material and injury,23740.0,1,No,0
111,31901720,Male,1963-11-29,CA,574-674-6381,Silver,33038715,Crime,2018-03-21,Auto,No,Material only,1510.0,1,No,1
112,67885239,Female,1966-09-17,AL,682-368-5823,Platinum,10744544,Driver error,2018-05-28,Auto,No,Material only,2740.0,1,No,1
113,94448966,Female,1984-06-20,MD,845-768-2513,Gold,67043170,Other driver error,2018-10-16,Auto,No,Injury only,23760.0,1,No,1
114,94633091,Female,1990-07-14,RI,826-537-1348,Platinum,98303926,Crime,2017-06-25,Auto,No,Material only,1640.0,1,No,1
115,90116906,Male,1970-09-14,SD,645-465-4938,Platinum,84863978,Driver error,2017-11-13,Auto,No,Injury only,23270.0,6,No,1
116,82832313,Male,1980-07-21,NC,679-793-3672,Silver,48203523,Other driver error,2017-12-03,Auto,Yes,Injury only,29060.0,1,No,1
117,87993949,Male,1969-05-29,NJ,754-586-4891,Platinum,73460630,Other causes,2018-06-23,Auto,Unknown,Injury only,25783.0,2,Yes,0
118,61810954,Male,1969-05-18,TX,724-493-6179,Silver,65335959,Other driver error,2018-09-19,Auto,Unknown,Material and injury,36620.0,1,No,0
119,55782839,Female,1998-02-07,ND,918-849-3279,Gold,38446319,Other causes,2017-12-17,Auto,Unknown,Injury only,21300.0,1,No,0
120,39587790,Male,1965-01-10,LA,615-154-3516,Gold,39131766,Other causes,2017-01-01,Auto,No,Material only,2967.0,1,Yes,1
121,14293434,Female,1995-01-25,IL,269-431-3781,Platinum,9961723,Other driver error,2017-05-22,Home,No,Material and injury,44493.5,1,Yes,1
122,46620413,Male,1991-12-11,DE,164-158-7981,Platinum,8405500,Other causes,2017-03-02,Auto,Unknown,Material only,3070.5,1,Yes,0
123,53798973,Female,1980-11-19,TN,732-893-6125,Silver,58103215,Other driver error,2018-05-01,Auto,No,Material only,2560.0,1,No,1
124,15556454,Male,1996-09-01,OK,952-296-8234,Silver,7316148,Crime,2018-03-14,Auto,No,Material only,2070.0,1,No,1
125,61497833,Male,1995-08-06,WV,179-439-6237,Platinum,35026470,Other driver error,2017-11-06,Auto,No,Material only,1759.5,4,Yes,1
126,92889077,Female,1963-03-08,AR,975-548-7142,Gold,57560277,Natural causes,2018-03-08,Home,No,Material only,1771.0,5,Yes,1
127,19171044,Female,1979-02-06,WI,281-597-6245,Platinum,19911335,Driver error,2017-04-12,Auto,Yes,Injury only,17360.0,1,No,1
128,93291407,Male,1970-05-08,FL,945-839-1768,Gold,54506772,Other driver error,2017-07-28,Auto,Unknown,Material only,1368.5,1,Yes,0
129,96710523,Male,1980-05-29,WY,846-174-8946,Silver,11618238,Other causes,2018-03-21,Home,Yes,Injury only,19240.0,1,No,1
130,52542420,Female,1970-07-25,CA,371-247-1395,Silver,46248222,Other driver error,2018-04-10,Auto,No,Material and injury,14260.0,2,No,1
131,37741743,Female,1982-07-16,ME,327-256-9257,Gold,13774284,Natural causes,2018-03-08,Auto,No,Material only,1350.0,1,No,1
132,48145469,Male,1973-05-22,IA,946-341-3157,Silver,30488859,Other causes,2018-04-10,Auto,Unknown,Material only,1860.0,1,No,0
133,25709472,Male,1993-01-15,KY,534-697-3498,Gold,52959888,Other driver error,2018-10-23,Auto,Unknown,Injury only,15440.0,1,No,0
134,58402401,Male,1979-06-13,KS,134-129-8167,Silver,4112041,Other causes,2018-09-12,Auto,Unknown,Material and injury,32710.0,1,No,0
135,23092790,Female,1982-04-21,NE,362-847-6954,Platinum,12179959,Crime,2018-08-03,Auto,Unknown,Material only,1380.0,1,No,0
136,62476442,Female,1985-06-27,HI,528-237-8379,Silver,59404655,Natural causes,2017-05-15,Auto,No,Material and injury,12467.68,2,No,1
137,39943087,Female,1988-11-11,NY,473-567-7234,Platinum,5176652,Other driver error,2017-03-16,Auto,Unknown,Material only,2510.0,1,No,0
138,41265642,Male,1989-09-29,IA,912-385-7549,Gold,1657284,Crime,2017-07-22,Auto,No,Material only,12467.68,1,Yes,1
139,73383008,Female,1986-06-04,AZ,594-592-6745,Gold,72074471,Other driver error,2018-02-09,Auto,Unknown,Injury only,44700.5,1,Yes,0
140,77896466,Female,1997-02-16,IL,613-614-1378,Gold,36664338,Driver error,2017-12-17,Auto,No,Material only,1550.0,1,No,1
141,83526368,Female,1979-03-16,MA,468-698-7189,Platinum,50826770,Crime,2018-10-03,Auto,Unknown,Material only,1850.0,3,No,0
142,31439710,Female,1988-03-11,GA,824-246-5734,Gold,64209730,Other driver error,2018-07-20,Home,No,Material only,2760.0,1,No,1
143,30227653,Female,1981-08-01,CT,945-734-2691,Silver,49955266,Other driver error,2017-09-07,Auto,No,Material only,2740.0,1,No,1
144,86993944,Male,1982-03-17,WI,596-612-5431,Silver,44581152,Other driver error,2017-12-30,Auto,Unknown,Injury only,26480.0,1,No,0
145,65728108,Male,1984-11-22,SC,438-675-4587,Platinum,32116508,Other causes,2018-10-09,Auto,Unknown,Material and injury,47610.0,3,Yes,0
146,45539668,Male,1998-04-08,MS,613-276-2471,Silver,48559754,Other driver error,2017-12-30,Auto,No,Material only,2170.0,1,No,1
147,3159546,Male,1987-10-20,TX,586-129-9752,Platinum,26716331,Other driver error,2017-04-25,Auto,No,Injury only,17590.0,4,No,1
148,88449349,Male,1979-12-17,WA,975-547-5196,Platinum,74738945,Other causes,2018-09-12,Auto,No,Material only,1080.0,1,No,1
149,35937389,Female,1978-07-31,AZ,971-841-3152,Silver,30532684,Natural causes,2017-02-23,Auto,Unknown,Material only,2610.0,2,No,0
150,19441247,Female,1974-06-10,WV,439-538-7538,Platinum,81488988,Natural causes,2017-07-22,Auto,No,Material only,1320.0,1,No,1
151,7208859,Female,1991-02-15,OK,372-267-3189,Gold,71767146,Crime,2017-07-01,Auto,No,Material only,1840.0,1,No,1
152,65950591,Male,1969-01-25,NH,543-543-2549,Silver,67042203,Driver error,2017-01-14,Auto,No,Material only,2970.0,1,No,1
153,2327487,Male,1999-02-08,AZ,215-589-3761,Platinum,66578763,Driver error,2018-05-07,Auto,No,Material only,12467.68,5,No,1
154,30722342,Male,1999-04-04,OH,316-863-5832,Silver,30930636,Driver error,2018-04-04,Home,Yes,Injury only,17180.0,5,No,1
155,31289360,Male,1998-11-15,GA,869-486-1267,Gold,30119116,Other driver error,2017-02-23,Auto,No,Material only,2720.0,1,No,1
156,24826170,Male,1987-03-05,WA,361-476-4591,Gold,45189268,Driver error,2017-07-08,Auto,No,Material only,2700.0,1,No,1
157,14860484,Male,1994-12-02,OK,864-361-2564,Gold,5567470,Other causes,2017-03-29,Auto,Unknown,Injury only,14240.0,4,No,0
158,39642700,Female,1985-06-13,IN,745-342-2471,Silver,46868258,Driver error,2017-12-10,Auto,No,Material only,2560.0,3,No,1
159,3689105,Female,1999-03-23,NE,923-198-9827,Silver,74988783,Crime,2017-04-18,Auto,Yes,Injury only,19440.0,4,No,1
160,58850120,Female,1960-07-23,UT,819-478-8453,Platinum,80080381,Crime,2017-02-23,Auto,Yes,Material and injury,40180.0,1,No,1
161,76965994,Male,1960-03-28,NY,132-927-9824,Gold,50617945,Crime,2017-03-09,Auto,No,Material only,1260.0,1,No,1
162,14490971,Female,1976-12-10,MN,614-652-1274,Silver,3589979,Crime,2018-09-19,Auto,No,Material only,1880.0,4,No,1
163,88277241,Male,1976-04-27,NV,684-482-6745,Platinum,33643946,Other causes,2017-07-08,Auto,Unknown,Injury only,12467.68,1,Yes,0
164,87386746,Male,1982-12-23,ND,741-473-8976,Gold,71464126,Other causes,2018-07-20,Auto,No,Material only,2260.0,1,No,1
165,55157616,Female,1967-10-21,MN,136-736-1978,Gold,19241230,Other driver error,2017-04-25,Auto,No,Material only,2960.0,1,No,1
166,55593844,Female,1965-03-02,NC,129-925-2819,Gold,8499165,Other causes,2017-07-22,Auto,No,Material only,1253.5,1,Yes,1
167,72556809,Male,1998-01-14,ID,582-928-4938,Platinum,65264955,Other causes,2018-08-16,Auto,Yes,Material and injury,32300.0,2,No,1
168,45653187,Male,1963-05-22,AL,836-247-1264,Silver,66703144,Natural causes,2018-04-04,Home,No,Material only,1660.0,1,No,1
169,48538925,Female,1967-09-25,NE,378-563-3695,Gold,66892177,Other causes,2017-06-04,Auto,No,Injury only,22420.0,1,No,1
170,68724425,Male,1961-10-06,VA,389-769-2197,Gold,75262517,Natural causes,2018-06-10,Auto,No,Material only,2150.0,3,No,1
171,50817031,Male,1963-11-17,MI,728-483-4185,Gold,7883163,Crime,2018-01-26,Auto,Unknown,Material only,2460.0,1,No,0
172,16836323,Male,1970-12-22,MS,398-364-9741,Gold,88126193,Crime,2017-01-14,Auto,No,Material only,1140.0,4,No,1
173,72701589,Female,1994-08-23,AR,745-968-1753,Silver,57237955,Driver error,2018-07-20,Auto,No,Material only,12467.68,1,No,1
174,88126167,Female,1993-12-22,IA,691-739-8963,Gold,26752193,Crime,2017-04-18,Auto,Unknown,Injury only,17050.0,1,No,0
175,50642114,Female,1961-12-06,FL,925-298-5137,Gold,94297538,Other driver error,2018-01-06,Auto,Unknown,Injury only,25030.0,1,No,0
176,32180678,Male,1985-02-24,KS,975-682-7836,Platinum,90714815,Other causes,2017-08-11,Auto,Unknown,Material and injury,12467.68,4,No,0
177,74155265,Male,1985-11-16,TX,392-739-4873,Gold,25647821,Natural causes,2017-01-01,Auto,No,Material only,2080.0,1,No,1
178,26168099,Male,1995-10-27,NC,325-687-3651,Silver,56330110,Natural causes,2018-05-07,Auto,No,Injury only,38590.0,3,No,1
179,804961,Female,1997-12-07,AL,487-723-4167,Gold,87184588,Other causes,2017-10-10,Auto,No,Material and injury,21190.0,1,No,1
180,25823839,Male,1971-12-27,ME,678-925-6195,Silver,18636027,Driver error,2017-10-10,Auto,Unknown,Injury only,36180.0,1,No,0
181,61745840,Female,1994-07-24,MA,612-684-5472,Platinum,90591192,Other driver error,2017-01-01,Home,No,Material and injury,30930.0,1,No,1
182,86024944,Female,1974-08-01,AZ,742-298-4693,Silver,18700750,Other driver error,2017-07-15,Auto,Unknown,Material and injury,47679.0,2,Yes,0
183,40080423,Female,1969-09-13,NY,769-451-9372,Gold,72789616,Other driver error,2018-08-30,Auto,Unknown,Material only,2440.0,1,No,0
184,14275512,Male,1971-06-24,MI,362-839-2153,Platinum,19132019,Driver error,2018-10-09,Auto,Unknown,Injury only,28060.0,1,No,0
185,70442756,Female,1963-06-16,VA,174-415-5381,Platinum,21361160,Natural causes,2018-01-06,Auto,No,Material only,1850.0,1,No,1
186,36829984,Female,1965-12-01,CA,713-967-1935,Platinum,80894091,Other driver error,2018-02-22,Auto,Yes,Material and injury,24750.0,1,No,1
187,68772500,Male,1989-11-10,TX,562-259-5432,Silver,21550521,Driver error,2018-08-30,Auto,Unknown,Material only,2320.0,1,No,0
188,154557,Female,1978-05-23,DE,962-879-1238,Platinum,69348631,Driver error,2018-04-10,Auto,No,Injury only,12467.68,1,Yes,1
189,97640137,Male,1975-08-14,SD,812-824-4285,Platinum,86624774,Driver error,2018-02-02,Auto,Unknown,Injury only,29600.0,1,No,0
190,49270602,Male,1960-04-10,IL,837-734-6732,Platinum,2040094,Other causes,2018-06-17,Auto,No,Material only,1790.0,1,No,1
191,25021031,Female,1972-12-07,IL,537-548-5913,Platinum,93354997,Other causes,2018-01-06,Auto,Yes,Injury only,31270.0,1,No,1
192,2590748,Female,1991-11-30,MO,185-517-6934,Platinum,61761215,Other driver error,2018-10-03,Auto,Unknown,Material and injury,30530.0,2,No,0
193,98905793,Female,1993-11-11,ID,823-482-5839,Platinum,17871003,Other driver error,2018-09-19,Auto,Unknown,Material only,3139.5,3,Yes,0
194,39495715,Male,1968-09-16,LA,572-615-8539,Gold,90504501,Driver error,2017-08-31,Auto,No,Material only,2470.0,1,No,1
195,64840478,Female,1974-02-14,NM,918-174-7461,Silver,23636125,Other driver error,2017-01-01,Auto,Unknown,Material and injury,17290.0,1,No,0
196,30541131,Female,1988-03-17,CO,857-137-2347,Silver,73972734,Other driver error,2017-08-11,Home,Unknown,Material only,1570.0,1,No,0
197,51503228,Male,1960-07-12,IA,612-258-9783,Silver,2322078,Driver error,2017-12-17,Auto,Unknown,Injury only,14330.0,3,No,0
198,57959733,Female,1967-12-31,AR,689-628-5247,Platinum,94870378,Other driver error,2017-07-22,Auto,No,Material only,2530.0,3,No,1
199,82415154,Female,1980-03-08,DE,578-942-1542,Platinum,46572741,Other driver error,2017-06-11,Auto,No,Material and injury,15240.0,1,No,1
200,67861420,Female,1992-04-28,UT,645-657-5692,Platinum,50960913,Other causes,2018-02-15,Auto,No,Material only,1880.0,1,No,1
201,16811546,Male,1976-07-09,KS,486-341-4781,Gold,91841652,Crime,2018-08-10,Auto,Unknown,Injury only,37200.0,1,No,0
